"RG","TG"
"AKT3_SOS1","AKT3","SOS1"
"CHUK_SOS1","CHUK","SOS1"
"IKBKB_SOS1","IKBKB","SOS1"
"IKBKG_SOS1","IKBKG","SOS1"
"BAD_SOS1","BAD","SOS1"
"MTOR_SOS1","MTOR","SOS1"
"EIF4EBP1_SOS1","EIF4EBP1","SOS1"
"RPS6KB1_SOS1","RPS6KB1","SOS1"
"SOS2_SOS1","SOS2","SOS1"
"HRAS_SOS1","HRAS","SOS1"
"ARAF_SOS1","ARAF","SOS1"
"BRAF_SOS1","BRAF","SOS1"
"RAF1_SOS1","RAF1","SOS1"
"MAP2K1_SOS1","MAP2K1","SOS1"
"MAPK1_SOS1","MAPK1","SOS1"
"MAPK3_SOS1","MAPK3","SOS1"
"STAT3_SOS1","STAT3","SOS1"
"STAT5A_SOS1","STAT5A","SOS1"
"STAT5B_SOS1","STAT5B","SOS1"
"PIM1_SOS1","PIM1","SOS1"
"PIM2_SOS1","PIM2","SOS1"
"CSF1R_SOS1","CSF1R","SOS1"
"CSF2_SOS1","CSF2","SOS1"
"IL3_SOS1","IL3","SOS1"
"RUNX1T1_SOS1","RUNX1T1","SOS1"
"PML_SOS1","PML","SOS1"
"ZBTB16_SOS1","ZBTB16","SOS1"
"PER2_SOS1","PER2","SOS1"
"CD14_SOS1","CD14","SOS1"
"ITGAM_SOS1","ITGAM","SOS1"
"CEBPE_SOS1","CEBPE","SOS1"
"BCL2A1_SOS1","BCL2A1","SOS1"
"CCNA2_SOS1","CCNA2","SOS1"
"CCNA1_SOS1","CCNA1","SOS1"
"MYC_SOS1","MYC","SOS1"
"JUP_SOS1","JUP","SOS1"
"TCF7_SOS1","TCF7","SOS1"
"TCF7L1_SOS1","TCF7L1","SOS1"
"TCF7L2_SOS1","TCF7L2","SOS1"
"LEF1_SOS1","LEF1","SOS1"
"FLT3_SOS2","FLT3","SOS2"
"PIK3CA_SOS2","PIK3CA","SOS2"
"PIK3CD_SOS2","PIK3CD","SOS2"
"PIK3CB_SOS2","PIK3CB","SOS2"
"PIK3R1_SOS2","PIK3R1","SOS2"
"PIK3R2_SOS2","PIK3R2","SOS2"
"PIK3R3_SOS2","PIK3R3","SOS2"
"P3R3URF.PIK3R3_SOS2","P3R3URF.PIK3R3","SOS2"
"AKT1_SOS2","AKT1","SOS2"
"AKT2_SOS2","AKT2","SOS2"
"AKT3_SOS2","AKT3","SOS2"
"CHUK_SOS2","CHUK","SOS2"
"IKBKG_SOS2","IKBKG","SOS2"
"NFKB1_SOS2","NFKB1","SOS2"
"RELA_SOS2","RELA","SOS2"
"MTOR_SOS2","MTOR","SOS2"
"RPS6KB2_SOS2","RPS6KB2","SOS2"
"GRB2_SOS2","GRB2","SOS2"
"SOS1_SOS2","SOS1","SOS2"
"HRAS_SOS2","HRAS","SOS2"
"ARAF_SOS2","ARAF","SOS2"
"BRAF_SOS2","BRAF","SOS2"
"RAF1_SOS2","RAF1","SOS2"
"MAP2K1_SOS2","MAP2K1","SOS2"
"MAP2K2_SOS2","MAP2K2","SOS2"
"MAPK1_SOS2","MAPK1","SOS2"
"MAPK3_SOS2","MAPK3","SOS2"
"STAT3_SOS2","STAT3","SOS2"
"STAT5B_SOS2","STAT5B","SOS2"
"PIM1_SOS2","PIM1","SOS2"
"CSF1R_SOS2","CSF1R","SOS2"
"IL3_SOS2","IL3","SOS2"
"RUNX1T1_SOS2","RUNX1T1","SOS2"
"PML_SOS2","PML","SOS2"
"ZBTB16_SOS2","ZBTB16","SOS2"
"PER2_SOS2","PER2","SOS2"
"CD14_SOS2","CD14","SOS2"
"ITGAM_SOS2","ITGAM","SOS2"
"FCGR1A_SOS2","FCGR1A","SOS2"
"CEBPE_SOS2","CEBPE","SOS2"
"BCL2A1_SOS2","BCL2A1","SOS2"
"CCNA2_SOS2","CCNA2","SOS2"
"MYC_SOS2","MYC","SOS2"
"DUSP6_SOS2","DUSP6","SOS2"
"JUP_SOS2","JUP","SOS2"
"TCF7_SOS2","TCF7","SOS2"
"LEF1_SOS2","LEF1","SOS2"
"CCND1_SOS2","CCND1","SOS2"
"PPARD_SOS2","PPARD","SOS2"
"KIT_HRAS","KIT","HRAS"
"FLT3_HRAS","FLT3","HRAS"
"PIK3CD_HRAS","PIK3CD","HRAS"
"PIK3CB_HRAS","PIK3CB","HRAS"
"PIK3R1_HRAS","PIK3R1","HRAS"
"PIK3R2_HRAS","PIK3R2","HRAS"
"P3R3URF.PIK3R3_HRAS","P3R3URF.PIK3R3","HRAS"
"AKT1_HRAS","AKT1","HRAS"
"AKT3_HRAS","AKT3","HRAS"
"BAD_HRAS","BAD","HRAS"
"MTOR_HRAS","MTOR","HRAS"
"EIF4EBP1_HRAS","EIF4EBP1","HRAS"
"RPS6KB1_HRAS","RPS6KB1","HRAS"
"RPS6KB2_HRAS","RPS6KB2","HRAS"
"SOS1_HRAS","SOS1","HRAS"
"SOS2_HRAS","SOS2","HRAS"
"ARAF_HRAS","ARAF","HRAS"
"BRAF_HRAS","BRAF","HRAS"
"MAP2K1_HRAS","MAP2K1","HRAS"
"MAP2K2_HRAS","MAP2K2","HRAS"
"MAPK1_HRAS","MAPK1","HRAS"
"MAPK3_HRAS","MAPK3","HRAS"
"STAT3_HRAS","STAT3","HRAS"
"STAT5A_HRAS","STAT5A","HRAS"
"STAT5B_HRAS","STAT5B","HRAS"
"PIM1_HRAS","PIM1","HRAS"
"PIM2_HRAS","PIM2","HRAS"
"CSF1R_HRAS","CSF1R","HRAS"
"MPO_HRAS","MPO","HRAS"
"CSF2_HRAS","CSF2","HRAS"
"IL3_HRAS","IL3","HRAS"
"RUNX1T1_HRAS","RUNX1T1","HRAS"
"PML_HRAS","PML","HRAS"
"RARA_HRAS","RARA","HRAS"
"PER2_HRAS","PER2","HRAS"
"SPI1_HRAS","SPI1","HRAS"
"CD14_HRAS","CD14","HRAS"
"ITGAM_HRAS","ITGAM","HRAS"
"FCGR1A_HRAS","FCGR1A","HRAS"
"CEBPE_HRAS","CEBPE","HRAS"
"BCL2A1_HRAS","BCL2A1","HRAS"
"CCNA2_HRAS","CCNA2","HRAS"
"CCNA1_HRAS","CCNA1","HRAS"
"MYC_HRAS","MYC","HRAS"
"JUP_HRAS","JUP","HRAS"
"TCF7_HRAS","TCF7","HRAS"
"TCF7L1_HRAS","TCF7L1","HRAS"
"TCF7L2_HRAS","TCF7L2","HRAS"
"PPARD_HRAS","PPARD","HRAS"
"KIT_ARAF","KIT","ARAF"
"FLT3_ARAF","FLT3","ARAF"
"PIK3CB_ARAF","PIK3CB","ARAF"
"PIK3R2_ARAF","PIK3R2","ARAF"
"PIK3R3_ARAF","PIK3R3","ARAF"
"P3R3URF.PIK3R3_ARAF","P3R3URF.PIK3R3","ARAF"
"AKT1_ARAF","AKT1","ARAF"
"AKT3_ARAF","AKT3","ARAF"
"CHUK_ARAF","CHUK","ARAF"
"IKBKG_ARAF","IKBKG","ARAF"
"RELA_ARAF","RELA","ARAF"
"BAD_ARAF","BAD","ARAF"
"RPS6KB1_ARAF","RPS6KB1","ARAF"
"RPS6KB2_ARAF","RPS6KB2","ARAF"
"SOS1_ARAF","SOS1","ARAF"
"HRAS_ARAF","HRAS","ARAF"
"RAF1_ARAF","RAF1","ARAF"
"MAPK3_ARAF","MAPK3","ARAF"
"STAT3_ARAF","STAT3","ARAF"
"PIM1_ARAF","PIM1","ARAF"
"PIM2_ARAF","PIM2","ARAF"
"CSF1R_ARAF","CSF1R","ARAF"
"CSF2_ARAF","CSF2","ARAF"
"PML_ARAF","PML","ARAF"
"RARA_ARAF","RARA","ARAF"
"CD14_ARAF","CD14","ARAF"
"CEBPE_ARAF","CEBPE","ARAF"
"BCL2A1_ARAF","BCL2A1","ARAF"
"MYC_ARAF","MYC","ARAF"
"JUP_ARAF","JUP","ARAF"
"TCF7L1_ARAF","TCF7L1","ARAF"
"TCF7L2_ARAF","TCF7L2","ARAF"
"PPARD_ARAF","PPARD","ARAF"
"PIK3CA_BRAF","PIK3CA","BRAF"
"PIK3CD_BRAF","PIK3CD","BRAF"
"PIK3CB_BRAF","PIK3CB","BRAF"
"PIK3R1_BRAF","PIK3R1","BRAF"
"PIK3R2_BRAF","PIK3R2","BRAF"
"P3R3URF.PIK3R3_BRAF","P3R3URF.PIK3R3","BRAF"
"AKT2_BRAF","AKT2","BRAF"
"AKT3_BRAF","AKT3","BRAF"
"CHUK_BRAF","CHUK","BRAF"
"IKBKB_BRAF","IKBKB","BRAF"
"RELA_BRAF","RELA","BRAF"
"MTOR_BRAF","MTOR","BRAF"
"EIF4EBP1_BRAF","EIF4EBP1","BRAF"
"GRB2_BRAF","GRB2","BRAF"
"SOS1_BRAF","SOS1","BRAF"
"SOS2_BRAF","SOS2","BRAF"
"HRAS_BRAF","HRAS","BRAF"
"ARAF_BRAF","ARAF","BRAF"
"RAF1_BRAF","RAF1","BRAF"
"MAP2K1_BRAF","MAP2K1","BRAF"
"MAP2K2_BRAF","MAP2K2","BRAF"
"MAPK1_BRAF","MAPK1","BRAF"
"STAT3_BRAF","STAT3","BRAF"
"STAT5A_BRAF","STAT5A","BRAF"
"STAT5B_BRAF","STAT5B","BRAF"
"PIM2_BRAF","PIM2","BRAF"
"CSF2_BRAF","CSF2","BRAF"
"RUNX1T1_BRAF","RUNX1T1","BRAF"
"PML_BRAF","PML","BRAF"
"PER2_BRAF","PER2","BRAF"
"CD14_BRAF","CD14","BRAF"
"ITGAM_BRAF","ITGAM","BRAF"
"BCL2A1_BRAF","BCL2A1","BRAF"
"CCNA2_BRAF","CCNA2","BRAF"
"TCF7L1_BRAF","TCF7L1","BRAF"
"LEF1_BRAF","LEF1","BRAF"
"PPARD_BRAF","PPARD","BRAF"
"KIT_RAF1","KIT","RAF1"
"FLT3_RAF1","FLT3","RAF1"
"PIK3CA_RAF1","PIK3CA","RAF1"
"PIK3CD_RAF1","PIK3CD","RAF1"
"PIK3CB_RAF1","PIK3CB","RAF1"
"PIK3R1_RAF1","PIK3R1","RAF1"
"PIK3R2_RAF1","PIK3R2","RAF1"
"PIK3R3_RAF1","PIK3R3","RAF1"
"AKT2_RAF1","AKT2","RAF1"
"AKT3_RAF1","AKT3","RAF1"
"CHUK_RAF1","CHUK","RAF1"
"IKBKB_RAF1","IKBKB","RAF1"
"IKBKG_RAF1","IKBKG","RAF1"
"NFKB1_RAF1","NFKB1","RAF1"
"RELA_RAF1","RELA","RAF1"
"MTOR_RAF1","MTOR","RAF1"
"EIF4EBP1_RAF1","EIF4EBP1","RAF1"
"RPS6KB1_RAF1","RPS6KB1","RAF1"
"RPS6KB2_RAF1","RPS6KB2","RAF1"
"GRB2_RAF1","GRB2","RAF1"
"SOS1_RAF1","SOS1","RAF1"
"SOS2_RAF1","SOS2","RAF1"
"ARAF_RAF1","ARAF","RAF1"
"BRAF_RAF1","BRAF","RAF1"
"MAP2K2_RAF1","MAP2K2","RAF1"
"MAPK1_RAF1","MAPK1","RAF1"
"STAT5A_RAF1","STAT5A","RAF1"
"STAT5B_RAF1","STAT5B","RAF1"
"PIM1_RAF1","PIM1","RAF1"
"PIM2_RAF1","PIM2","RAF1"
"MPO_RAF1","MPO","RAF1"
"CSF2_RAF1","CSF2","RAF1"
"IL3_RAF1","IL3","RAF1"
"RUNX1T1_RAF1","RUNX1T1","RAF1"
"PML_RAF1","PML","RAF1"
"RARA_RAF1","RARA","RAF1"
"PER2_RAF1","PER2","RAF1"
"SPI1_RAF1","SPI1","RAF1"
"CD14_RAF1","CD14","RAF1"
"FCGR1A_RAF1","FCGR1A","RAF1"
"CEBPE_RAF1","CEBPE","RAF1"
"BCL2A1_RAF1","BCL2A1","RAF1"
"CCNA2_RAF1","CCNA2","RAF1"
"CCNA1_RAF1","CCNA1","RAF1"
"DUSP6_RAF1","DUSP6","RAF1"
"JUP_RAF1","JUP","RAF1"
"TCF7_RAF1","TCF7","RAF1"
"TCF7L1_RAF1","TCF7L1","RAF1"
"CCND1_RAF1","CCND1","RAF1"
"PPARD_RAF1","PPARD","RAF1"
"KIT_MAP2K1","KIT","MAP2K1"
"FLT3_MAP2K1","FLT3","MAP2K1"
"PIK3CD_MAP2K1","PIK3CD","MAP2K1"
"PIK3R1_MAP2K1","PIK3R1","MAP2K1"
"PIK3R3_MAP2K1","PIK3R3","MAP2K1"
"AKT2_MAP2K1","AKT2","MAP2K1"
"CHUK_MAP2K1","CHUK","MAP2K1"
"IKBKB_MAP2K1","IKBKB","MAP2K1"
"IKBKG_MAP2K1","IKBKG","MAP2K1"
"NFKB1_MAP2K1","NFKB1","MAP2K1"
"RELA_MAP2K1","RELA","MAP2K1"
"BAD_MAP2K1","BAD","MAP2K1"
"MTOR_MAP2K1","MTOR","MAP2K1"
"EIF4EBP1_MAP2K1","EIF4EBP1","MAP2K1"
"RPS6KB1_MAP2K1","RPS6KB1","MAP2K1"
"RPS6KB2_MAP2K1","RPS6KB2","MAP2K1"
"GRB2_MAP2K1","GRB2","MAP2K1"
"SOS1_MAP2K1","SOS1","MAP2K1"
"SOS2_MAP2K1","SOS2","MAP2K1"
"HRAS_MAP2K1","HRAS","MAP2K1"
"ARAF_MAP2K1","ARAF","MAP2K1"
"BRAF_MAP2K1","BRAF","MAP2K1"
"MAP2K2_MAP2K1","MAP2K2","MAP2K1"
"MAPK1_MAP2K1","MAPK1","MAP2K1"
"MAPK3_MAP2K1","MAPK3","MAP2K1"
"STAT5A_MAP2K1","STAT5A","MAP2K1"
"PIM2_MAP2K1","PIM2","MAP2K1"
"MPO_MAP2K1","MPO","MAP2K1"
"CSF2_MAP2K1","CSF2","MAP2K1"
"PML_MAP2K1","PML","MAP2K1"
"RARA_MAP2K1","RARA","MAP2K1"
"PER2_MAP2K1","PER2","MAP2K1"
"CD14_MAP2K1","CD14","MAP2K1"
"FCGR1A_MAP2K1","FCGR1A","MAP2K1"
"CEBPE_MAP2K1","CEBPE","MAP2K1"
"BCL2A1_MAP2K1","BCL2A1","MAP2K1"
"CCNA2_MAP2K1","CCNA2","MAP2K1"
"CCNA1_MAP2K1","CCNA1","MAP2K1"
"MYC_MAP2K1","MYC","MAP2K1"
"JUP_MAP2K1","JUP","MAP2K1"
"TCF7L1_MAP2K1","TCF7L1","MAP2K1"
"CCND1_MAP2K1","CCND1","MAP2K1"
"PPARD_MAP2K1","PPARD","MAP2K1"
"KIT_MAP2K2","KIT","MAP2K2"
"FLT3_MAP2K2","FLT3","MAP2K2"
"PIK3CA_MAP2K2","PIK3CA","MAP2K2"
"PIK3CB_MAP2K2","PIK3CB","MAP2K2"
"PIK3R1_MAP2K2","PIK3R1","MAP2K2"
"PIK3R2_MAP2K2","PIK3R2","MAP2K2"
"AKT1_MAP2K2","AKT1","MAP2K2"
"AKT2_MAP2K2","AKT2","MAP2K2"
"CHUK_MAP2K2","CHUK","MAP2K2"
"RELA_MAP2K2","RELA","MAP2K2"
"BAD_MAP2K2","BAD","MAP2K2"
"MTOR_MAP2K2","MTOR","MAP2K2"
"EIF4EBP1_MAP2K2","EIF4EBP1","MAP2K2"
"GRB2_MAP2K2","GRB2","MAP2K2"
"SOS2_MAP2K2","SOS2","MAP2K2"
"HRAS_MAP2K2","HRAS","MAP2K2"
"BRAF_MAP2K2","BRAF","MAP2K2"
"RAF1_MAP2K2","RAF1","MAP2K2"
"MAP2K1_MAP2K2","MAP2K1","MAP2K2"
"MAPK1_MAP2K2","MAPK1","MAP2K2"
"MAPK3_MAP2K2","MAPK3","MAP2K2"
"STAT5A_MAP2K2","STAT5A","MAP2K2"
"STAT5B_MAP2K2","STAT5B","MAP2K2"
"PIM2_MAP2K2","PIM2","MAP2K2"
"CSF1R_MAP2K2","CSF1R","MAP2K2"
"MPO_MAP2K2","MPO","MAP2K2"
"CSF2_MAP2K2","CSF2","MAP2K2"
"IL3_MAP2K2","IL3","MAP2K2"
"RUNX1T1_MAP2K2","RUNX1T1","MAP2K2"
"PML_MAP2K2","PML","MAP2K2"
"RARA_MAP2K2","RARA","MAP2K2"
"ZBTB16_MAP2K2","ZBTB16","MAP2K2"
"PER2_MAP2K2","PER2","MAP2K2"
"SPI1_MAP2K2","SPI1","MAP2K2"
"CD14_MAP2K2","CD14","MAP2K2"
"FCGR1A_MAP2K2","FCGR1A","MAP2K2"
"CEBPE_MAP2K2","CEBPE","MAP2K2"
"BCL2A1_MAP2K2","BCL2A1","MAP2K2"
"CCNA1_MAP2K2","CCNA1","MAP2K2"
"MYC_MAP2K2","MYC","MAP2K2"
"DUSP6_MAP2K2","DUSP6","MAP2K2"
"JUP_MAP2K2","JUP","MAP2K2"
"TCF7_MAP2K2","TCF7","MAP2K2"
"TCF7L1_MAP2K2","TCF7L1","MAP2K2"
"TCF7L2_MAP2K2","TCF7L2","MAP2K2"
"LEF1_MAP2K2","LEF1","MAP2K2"
"CCND1_MAP2K2","CCND1","MAP2K2"
"PPARD_MAP2K2","PPARD","MAP2K2"
"KIT_MAPK1","KIT","MAPK1"
"PIK3CA_MAPK1","PIK3CA","MAPK1"
"PIK3CD_MAPK1","PIK3CD","MAPK1"
"PIK3CB_MAPK1","PIK3CB","MAPK1"
"P3R3URF.PIK3R3_MAPK1","P3R3URF.PIK3R3","MAPK1"
"AKT1_MAPK1","AKT1","MAPK1"
"AKT3_MAPK1","AKT3","MAPK1"
"CHUK_MAPK1","CHUK","MAPK1"
"IKBKG_MAPK1","IKBKG","MAPK1"
"NFKB1_MAPK1","NFKB1","MAPK1"
"RELA_MAPK1","RELA","MAPK1"
"MTOR_MAPK1","MTOR","MAPK1"
"EIF4EBP1_MAPK1","EIF4EBP1","MAPK1"
"RPS6KB1_MAPK1","RPS6KB1","MAPK1"
"GRB2_MAPK1","GRB2","MAPK1"
"SOS1_MAPK1","SOS1","MAPK1"
"SOS2_MAPK1","SOS2","MAPK1"
"HRAS_MAPK1","HRAS","MAPK1"
"BRAF_MAPK1","BRAF","MAPK1"
"RAF1_MAPK1","RAF1","MAPK1"
"MAP2K1_MAPK1","MAP2K1","MAPK1"
"MAP2K2_MAPK1","MAP2K2","MAPK1"
"MAPK3_MAPK1","MAPK3","MAPK1"
"STAT3_MAPK1","STAT3","MAPK1"
"STAT5B_MAPK1","STAT5B","MAPK1"
"PIM1_MAPK1","PIM1","MAPK1"
"PIM2_MAPK1","PIM2","MAPK1"
"CSF2_MAPK1","CSF2","MAPK1"
"IL3_MAPK1","IL3","MAPK1"
"PML_MAPK1","PML","MAPK1"
"RARA_MAPK1","RARA","MAPK1"
"CD14_MAPK1","CD14","MAPK1"
"ITGAM_MAPK1","ITGAM","MAPK1"
"BCL2A1_MAPK1","BCL2A1","MAPK1"
"CCNA2_MAPK1","CCNA2","MAPK1"
"CCNA1_MAPK1","CCNA1","MAPK1"
"DUSP6_MAPK1","DUSP6","MAPK1"
"TCF7_MAPK1","TCF7","MAPK1"
"TCF7L1_MAPK1","TCF7L1","MAPK1"
"TCF7L2_MAPK1","TCF7L2","MAPK1"
"LEF1_MAPK1","LEF1","MAPK1"
"CCND1_MAPK1","CCND1","MAPK1"
"KIT_MAPK3","KIT","MAPK3"
"PIK3CA_MAPK3","PIK3CA","MAPK3"
"PIK3CB_MAPK3","PIK3CB","MAPK3"
"PIK3R1_MAPK3","PIK3R1","MAPK3"
"PIK3R3_MAPK3","PIK3R3","MAPK3"
"P3R3URF.PIK3R3_MAPK3","P3R3URF.PIK3R3","MAPK3"
"AKT1_MAPK3","AKT1","MAPK3"
"AKT2_MAPK3","AKT2","MAPK3"
"AKT3_MAPK3","AKT3","MAPK3"
"CHUK_MAPK3","CHUK","MAPK3"
"BAD_MAPK3","BAD","MAPK3"
"MTOR_MAPK3","MTOR","MAPK3"
"EIF4EBP1_MAPK3","EIF4EBP1","MAPK3"
"RPS6KB1_MAPK3","RPS6KB1","MAPK3"
"RPS6KB2_MAPK3","RPS6KB2","MAPK3"
"GRB2_MAPK3","GRB2","MAPK3"
"SOS1_MAPK3","SOS1","MAPK3"
"SOS2_MAPK3","SOS2","MAPK3"
"HRAS_MAPK3","HRAS","MAPK3"
"ARAF_MAPK3","ARAF","MAPK3"
"MAP2K1_MAPK3","MAP2K1","MAPK3"
"MAP2K2_MAPK3","MAP2K2","MAPK3"
"MAPK1_MAPK3","MAPK1","MAPK3"
"STAT5A_MAPK3","STAT5A","MAPK3"
"STAT5B_MAPK3","STAT5B","MAPK3"
"PIM1_MAPK3","PIM1","MAPK3"
"MPO_MAPK3","MPO","MAPK3"
"CSF2_MAPK3","CSF2","MAPK3"
"IL3_MAPK3","IL3","MAPK3"
"RUNX1T1_MAPK3","RUNX1T1","MAPK3"
"PML_MAPK3","PML","MAPK3"
"RARA_MAPK3","RARA","MAPK3"
"ZBTB16_MAPK3","ZBTB16","MAPK3"
"SPI1_MAPK3","SPI1","MAPK3"
"CD14_MAPK3","CD14","MAPK3"
"ITGAM_MAPK3","ITGAM","MAPK3"
"FCGR1A_MAPK3","FCGR1A","MAPK3"
"BCL2A1_MAPK3","BCL2A1","MAPK3"
"CCNA2_MAPK3","CCNA2","MAPK3"
"CCNA1_MAPK3","CCNA1","MAPK3"
"MYC_MAPK3","MYC","MAPK3"
"DUSP6_MAPK3","DUSP6","MAPK3"
"JUP_MAPK3","JUP","MAPK3"
"TCF7_MAPK3","TCF7","MAPK3"
"TCF7L1_MAPK3","TCF7L1","MAPK3"
"TCF7L2_MAPK3","TCF7L2","MAPK3"
"LEF1_MAPK3","LEF1","MAPK3"
"CCND1_MAPK3","CCND1","MAPK3"
"PPARD_MAPK3","PPARD","MAPK3"
"KIT_STAT3","KIT","STAT3"
"FLT3_STAT3","FLT3","STAT3"
"PIK3CA_STAT3","PIK3CA","STAT3"
"PIK3CD_STAT3","PIK3CD","STAT3"
"PIK3CB_STAT3","PIK3CB","STAT3"
"PIK3R3_STAT3","PIK3R3","STAT3"
"P3R3URF.PIK3R3_STAT3","P3R3URF.PIK3R3","STAT3"
"AKT1_STAT3","AKT1","STAT3"
"AKT2_STAT3","AKT2","STAT3"
"IKBKB_STAT3","IKBKB","STAT3"
"IKBKG_STAT3","IKBKG","STAT3"
"NFKB1_STAT3","NFKB1","STAT3"
"RELA_STAT3","RELA","STAT3"
"MTOR_STAT3","MTOR","STAT3"
"EIF4EBP1_STAT3","EIF4EBP1","STAT3"
"RPS6KB1_STAT3","RPS6KB1","STAT3"
"RPS6KB2_STAT3","RPS6KB2","STAT3"
"GRB2_STAT3","GRB2","STAT3"
"SOS1_STAT3","SOS1","STAT3"
"SOS2_STAT3","SOS2","STAT3"
"HRAS_STAT3","HRAS","STAT3"
"ARAF_STAT3","ARAF","STAT3"
"BRAF_STAT3","BRAF","STAT3"
"MAPK1_STAT3","MAPK1","STAT3"
"STAT5A_STAT3","STAT5A","STAT3"
"STAT5B_STAT3","STAT5B","STAT3"
"PIM1_STAT3","PIM1","STAT3"
"PIM2_STAT3","PIM2","STAT3"
"CSF1R_STAT3","CSF1R","STAT3"
"IL3_STAT3","IL3","STAT3"
"PML_STAT3","PML","STAT3"
"RARA_STAT3","RARA","STAT3"
"PER2_STAT3","PER2","STAT3"
"SPI1_STAT3","SPI1","STAT3"
"CD14_STAT3","CD14","STAT3"
"ITGAM_STAT3","ITGAM","STAT3"
"CEBPE_STAT3","CEBPE","STAT3"
"BCL2A1_STAT3","BCL2A1","STAT3"
"CCNA2_STAT3","CCNA2","STAT3"
"CCNA1_STAT3","CCNA1","STAT3"
"MYC_STAT3","MYC","STAT3"
"JUP_STAT3","JUP","STAT3"
"TCF7_STAT3","TCF7","STAT3"
"TCF7L1_STAT3","TCF7L1","STAT3"
"LEF1_STAT3","LEF1","STAT3"
"CCND1_STAT3","CCND1","STAT3"
"PPARD_STAT3","PPARD","STAT3"
"KIT_STAT5A","KIT","STAT5A"
"PIK3CA_STAT5A","PIK3CA","STAT5A"
"PIK3CD_STAT5A","PIK3CD","STAT5A"
"PIK3CB_STAT5A","PIK3CB","STAT5A"
"PIK3R1_STAT5A","PIK3R1","STAT5A"
"PIK3R2_STAT5A","PIK3R2","STAT5A"
"PIK3R3_STAT5A","PIK3R3","STAT5A"
"AKT2_STAT5A","AKT2","STAT5A"
"AKT3_STAT5A","AKT3","STAT5A"
"IKBKB_STAT5A","IKBKB","STAT5A"
"IKBKG_STAT5A","IKBKG","STAT5A"
"NFKB1_STAT5A","NFKB1","STAT5A"
"RELA_STAT5A","RELA","STAT5A"
"MTOR_STAT5A","MTOR","STAT5A"
"EIF4EBP1_STAT5A","EIF4EBP1","STAT5A"
"RPS6KB1_STAT5A","RPS6KB1","STAT5A"
"SOS1_STAT5A","SOS1","STAT5A"
"HRAS_STAT5A","HRAS","STAT5A"
"ARAF_STAT5A","ARAF","STAT5A"
"BRAF_STAT5A","BRAF","STAT5A"
"RAF1_STAT5A","RAF1","STAT5A"
"MAP2K1_STAT5A","MAP2K1","STAT5A"
"STAT3_STAT5A","STAT3","STAT5A"
"STAT5B_STAT5A","STAT5B","STAT5A"
"PIM1_STAT5A","PIM1","STAT5A"
"IL3_STAT5A","IL3","STAT5A"
"PML_STAT5A","PML","STAT5A"
"ZBTB16_STAT5A","ZBTB16","STAT5A"
"PER2_STAT5A","PER2","STAT5A"
"SPI1_STAT5A","SPI1","STAT5A"
"CD14_STAT5A","CD14","STAT5A"
"ITGAM_STAT5A","ITGAM","STAT5A"
"BCL2A1_STAT5A","BCL2A1","STAT5A"
"CCNA2_STAT5A","CCNA2","STAT5A"
"MYC_STAT5A","MYC","STAT5A"
"DUSP6_STAT5A","DUSP6","STAT5A"
"TCF7_STAT5A","TCF7","STAT5A"
"TCF7L1_STAT5A","TCF7L1","STAT5A"
"LEF1_STAT5A","LEF1","STAT5A"
"FLT3_STAT5B","FLT3","STAT5B"
"PIK3CA_STAT5B","PIK3CA","STAT5B"
"PIK3CD_STAT5B","PIK3CD","STAT5B"
"PIK3CB_STAT5B","PIK3CB","STAT5B"
"PIK3R2_STAT5B","PIK3R2","STAT5B"
"PIK3R3_STAT5B","PIK3R3","STAT5B"
"P3R3URF.PIK3R3_STAT5B","P3R3URF.PIK3R3","STAT5B"
"AKT1_STAT5B","AKT1","STAT5B"
"AKT2_STAT5B","AKT2","STAT5B"
"AKT3_STAT5B","AKT3","STAT5B"
"CHUK_STAT5B","CHUK","STAT5B"
"IKBKB_STAT5B","IKBKB","STAT5B"
"IKBKG_STAT5B","IKBKG","STAT5B"
"NFKB1_STAT5B","NFKB1","STAT5B"
"RELA_STAT5B","RELA","STAT5B"
"BAD_STAT5B","BAD","STAT5B"
"MTOR_STAT5B","MTOR","STAT5B"
"RPS6KB1_STAT5B","RPS6KB1","STAT5B"
"SOS1_STAT5B","SOS1","STAT5B"
"SOS2_STAT5B","SOS2","STAT5B"
"HRAS_STAT5B","HRAS","STAT5B"
"ARAF_STAT5B","ARAF","STAT5B"
"BRAF_STAT5B","BRAF","STAT5B"
"RAF1_STAT5B","RAF1","STAT5B"
"MAP2K1_STAT5B","MAP2K1","STAT5B"
"MAP2K2_STAT5B","MAP2K2","STAT5B"
"MAPK1_STAT5B","MAPK1","STAT5B"
"MAPK3_STAT5B","MAPK3","STAT5B"
"STAT3_STAT5B","STAT3","STAT5B"
"STAT5A_STAT5B","STAT5A","STAT5B"
"PIM1_STAT5B","PIM1","STAT5B"
"PIM2_STAT5B","PIM2","STAT5B"
"CSF2_STAT5B","CSF2","STAT5B"
"RUNX1T1_STAT5B","RUNX1T1","STAT5B"
"PML_STAT5B","PML","STAT5B"
"RARA_STAT5B","RARA","STAT5B"
"PER2_STAT5B","PER2","STAT5B"
"SPI1_STAT5B","SPI1","STAT5B"
"CD14_STAT5B","CD14","STAT5B"
"ITGAM_STAT5B","ITGAM","STAT5B"
"FCGR1A_STAT5B","FCGR1A","STAT5B"
